Feature,Importance
cat__ChargerID_130,0.0
cat__ChargerID_129,0.0
cat__ChargerID_128,0.0
cat__ChargerID_127,0.0
cat__ChargerID_125,0.0
cat__ChargerID_123,0.0
cat__ChargerID_121,0.0
cat__ChargerID_164,0.0
cat__ChargerID_161,0.0
cat__ChargerID_160,0.0
cat__ChargerID_159,0.0
cat__ChargerID_158,0.0
cat__ChargerID_157,0.0
cat__ChargerID_156,0.0
cat__ChargerID_154,0.0
cat__ChargerID_153,0.0
cat__ChargerID_152,0.0
cat__ChargerID_150,0.0
cat__ChargerID_149,0.0
cat__ChargerID_147,0.0
cat__ChargerID_185,0.0
cat__ChargerID_182,0.0
cat__ChargerID_181,0.0
cat__ChargerID_180,0.0
cat__ChargerID_178,0.0
cat__ChargerID_177,0.0
cat__ChargerID_176,0.0
cat__ChargerID_174,0.0
cat__ChargerID_173,0.0
cat__ChargerID_172,0.0
cat__ChargerID_170,0.0
cat__ChargerID_168,0.0
cat__ChargerID_167,0.0
cat__ChargerID_166,0.0
cat__ChargerID_206,0.0
cat__ChargerID_205,0.0
cat__ChargerID_204,0.0
cat__ChargerID_203,0.0
cat__ChargerID_202,0.0
cat__ChargerID_198,0.0
cat__ChargerID_195,0.0
cat__ChargerID_194,0.0
cat__ChargerID_190,0.0
cat__ChargerID_189,0.0
cat__ChargerID_188,0.0
cat__ChargerID_233,0.0
cat__ChargerID_232,0.0
cat__ChargerID_230,0.0
cat__ChargerID_227,0.0
cat__ChargerID_226,0.0
cat__ChargerID_225,0.0
cat__ChargerID_222,0.0
cat__ChargerID_217,0.0
cat__ChargerID_215,0.0
cat__ChargerID_213,0.0
cat__ChargerID_210,0.0
cat__ChargerID_257,0.0
cat__ChargerID_254,0.0
cat__ChargerID_253,0.0
cat__ChargerID_252,0.0
cat__ChargerID_249,0.0
cat__ChargerID_248,0.0
cat__ChargerID_246,0.0
cat__ChargerID_244,0.0
cat__ChargerID_238,0.0
cat__ChargerID_237,0.0
cat__ChargerID_236,0.0
cat__ChargerID_235,0.0
cat__ChargerID_234,0.0
cat__ChargerID_281,0.0
cat__ChargerID_279,0.0
cat__ChargerID_277,0.0
cat__ChargerID_275,0.0
cat__ChargerID_274,0.0
cat__ChargerID_270,0.0
cat__ChargerID_269,0.0
cat__ChargerID_265,0.0
cat__ChargerID_264,0.0
cat__ChargerID_263,0.0
cat__ChargerID_262,0.0
cat__ChargerID_258,0.0
cat__ChargerID_306,0.0
cat__ChargerID_304,0.0
cat__ChargerID_303,0.0
cat__ChargerID_301,0.0
cat__ChargerID_300,0.0
cat__ChargerID_298,0.0
cat__ChargerID_296,0.0
cat__ChargerID_290,0.0
cat__ChargerID_289,0.0
cat__ChargerID_286,0.0
cat__ChargerID_285,0.0
cat__ChargerID_283,0.0
cat__ChargerID_331,0.0
cat__ChargerID_329,0.0
cat__ChargerID_328,0.0
cat__ChargerID_327,0.0
cat__ChargerID_322,0.0
cat__ChargerID_320,0.0
cat__ChargerID_319,0.0
cat__ChargerID_317,0.0
cat__ChargerID_315,0.0
cat__ChargerID_311,0.0
cat__ChargerID_310,0.0
cat__ChargerID_309,0.0
cat__ChargerID_308,0.0
cat__ChargerID_307,0.0
cat__ChargerID_364,0.0
cat__ChargerID_363,0.0
cat__ChargerID_361,0.0
cat__ChargerID_360,0.0
cat__ChargerID_359,0.0
cat__ChargerID_358,0.0
cat__ChargerID_356,0.0
cat__ChargerID_354,0.0
cat__ChargerID_350,0.0
cat__ChargerID_348,0.0
cat__ChargerID_347,0.0
cat__ChargerID_343,0.0
cat__ChargerID_334,0.0
cat__ChargerID_380,0.0
cat__ChargerID_379,0.0
cat__ChargerID_378,0.0
cat__ChargerID_376,0.0
cat__ChargerID_370,0.0
cat__ChargerID_369,0.0
cat__ChargerID_368,0.0
cat__ChargerID_367,0.0
cat__ChargerID_366,0.0
cat__ChargerID_365,0.0
cat__ChargerID_397,0.0
cat__ChargerID_396,0.0
cat__ChargerID_395,0.0
cat__ChargerID_394,0.0
cat__ChargerID_393,0.0
cat__ChargerID_392,0.0
cat__ChargerID_391,0.0
cat__ChargerID_390,0.0
cat__ChargerID_389,0.0
cat__ChargerID_388,0.0
cat__ChargerID_387,0.0
cat__ChargerID_385,0.0
cat__ChargerID_384,0.0
cat__ChargerID_383,0.0
cat__ChargerID_382,0.0
cat__ChargerID_381,0.0
cat__ChargerID_413,0.0
cat__ChargerID_412,0.0
cat__ChargerID_411,0.0
cat__ChargerID_410,0.0
cat__ChargerID_409,0.0
cat__ChargerID_408,0.0
cat__ChargerID_407,0.0
cat__ChargerID_406,0.0
cat__ChargerID_405,0.0
cat__ChargerID_404,0.0
cat__ChargerID_403,0.0
cat__ChargerID_402,0.0
cat__ChargerID_401,0.0
cat__ChargerID_400,0.0
cat__ChargerID_399,0.0
cat__ChargerID_398,0.0
cat__ChargerID_429,0.0
cat__ChargerID_428,0.0
cat__ChargerID_427,0.0
cat__ChargerID_426,0.0
cat__ChargerID_425,0.0
cat__ChargerID_424,0.0
cat__ChargerID_423,0.0
cat__ChargerID_422,0.0
cat__ChargerID_421,0.0
cat__ChargerID_420,0.0
cat__ChargerID_419,0.0
cat__ChargerID_418,0.0
cat__ChargerID_417,0.0
cat__ChargerID_416,0.0
cat__ChargerID_415,0.0
cat__ChargerID_414,0.0
cat__ChargerID_445,0.0
cat__ChargerID_444,0.0
cat__ChargerID_443,0.0
cat__ChargerID_442,0.0
cat__ChargerID_441,0.0
cat__ChargerID_440,0.0
cat__ChargerID_439,0.0
cat__ChargerID_438,0.0
cat__ChargerID_437,0.0
cat__ChargerID_436,0.0
cat__ChargerID_435,0.0
cat__ChargerID_434,0.0
cat__ChargerID_432,0.0
cat__ChargerID_430,0.0
cat__ChargerID_462,0.0
cat__ChargerID_461,0.0
