Location,HistoricalLocationMean
accommodation,29.27876404494382
apartment,18.78143127194167
bus garage,27.409130434782607
camping,24.99698568198945
company,16.054338085539715
golf,16.842252681764005
hotel,14.703439122908252
market,16.586589052287582
public area,18.03645503124717
public institution,17.34481646471846
public parking lot,16.793437156467572
resort,16.94670368788267
restaurant,17.654939411425275
sightseeing,15.057706725468577
