Model,MAE,RMSE,R2
Linear Regression,9.363422327038377,12.65973646811467,0.17235545311583111
Random Forest,8.90676274090712,12.1046511357445,0.24334295151326435
Gradient Boosting,9.033505370767589,12.111435325228994,0.24249455972672318
XGBoost,8.973649135014202,12.07689211691805,0.24680938325387924
