Model,CV_MAE,CV_RMSE,CV_R2
XGBoost,8.703470786372502,11.632416800543293,0.2583932924994602
Gradient Boosting,8.733135052079472,11.66143619973686,0.2548718513638933
Random Forest,8.614555101353144,11.684535374042776,0.2518246360623191
Linear Regression,11.36964136360604,19.842206892721283,-2.473943585872304
